subject	predicate	object
 HuBMAP C000002	isa	 HuBMAP C000001
 HuBMAP C000003	isa	 HuBMAP C000001
 HuBMAP C000004	isa	 HuBMAP C000000
 HuBMAP C000005	isa	 HuBMAP C000000
 HuBMAP C000006	isa	 HuBMAP C000000
 HuBMAP C000007	isa	 HuBMAP C000004
 HuBMAP C000008	isa	 HuBMAP C000004
 HuBMAP C000009	isa	 HuBMAP C000004
 HuBMAP C000010	isa	 HuBMAP C000004
 HuBMAP C000010	has_analyte	 HuBMAP C000337
 HuBMAP C000010	has_analyte	 HuBMAP C000338
 HuBMAP C000011	isa	 HuBMAP C000008
 HuBMAP C000012	isa	 HuBMAP C000008
 HuBMAP C000013	isa	 HuBMAP C000008
 HuBMAP C000014	isa	 HuBMAP C000004
 HuBMAP C000015	isa	 HuBMAP C000007
 HuBMAP C000016	isa	 HuBMAP C000007
 HuBMAP C000016	isa	 HuBMAP C000004
 HuBMAP C000018	isa	 HuBMAP C000017
 HuBMAP C000019	isa	 HuBMAP C000017
 HuBMAP C000020	isa	 HuBMAP C000017
 HuBMAP C000021	isa	 HuBMAP C000017
 HuBMAP C000022	isa	 HuBMAP C000017
 HuBMAP C000023	isa	 HuBMAP C000017
 HuBMAP C000024	isa	 HuBMAP C000017
 HuBMAP C000025	isa	 HuBMAP C000017
 HuBMAP C000026	isa	 HuBMAP C000017
 HuBMAP C000028	isa	 HuBMAP C000027
 HuBMAP C000033	isa	 HuBMAP C000032
 HuBMAP C000034	isa	 HuBMAP C000032
 HuBMAP C000035	isa	 HuBMAP C000032
 HuBMAP C000037	isa	 HuBMAP C000036
 HuBMAP C000039	isa	 HuBMAP C000038
 HuBMAP C000043	isa	 HuBMAP C000040
 HuBMAP C000044	isa	 HuBMAP C000042
 HuBMAP C000045	isa	 HuBMAP C000042
 HuBMAP C000046	isa	 HuBMAP C000042
 HuBMAP C000047	isa	 HuBMAP C000042
 HuBMAP C000048	isa	 HuBMAP C000042
 HuBMAP C000049	isa	 HuBMAP C000038
 HuBMAP C000049	has_directory_schema_yaml	 HuBMAP C000043
 HuBMAP C000049	has_description_URL	 HuBMAP C000044
 HuBMAP C000050	isa	 HuBMAP C000038
 HuBMAP C000050	has_description_URL	 HuBMAP C000045
 HuBMAP C000051	isa	 HuBMAP C000038
 HuBMAP C000051	has_description_URL	 HuBMAP C000046
 HuBMAP C000052	isa	 HuBMAP C000038
 HuBMAP C000052	has_description_URL	 HuBMAP C000047
 HuBMAP C000053	isa	 HuBMAP C000038
 HuBMAP C000053	has_description_URL	 HuBMAP C000048
 HuBMAP C000054	isa	 HuBMAP C000007
 HuBMAP C000055	isa	 HuBMAP C000040
 HuBMAP C000056	isa	 HuBMAP C000041
 HuBMAP C000057	isa	 HuBMAP C000042
 HuBMAP C000058	isa	 HuBMAP C000007
 HuBMAP C000058	isa	 HuBMAP C000029
 HuBMAP C000058	isa	 HuBMAP C000054
 HuBMAP C000058	referenced_in	 HuBMAP C000002
 HuBMAP C000058	has_biospecimen_type	 HuBMAP C000033
 HuBMAP C000058	has_biospecimen_type	 HuBMAP C000035
 HuBMAP C000058	has_directory_schema_yaml	 HuBMAP C000055
 HuBMAP C000058	has_field_schema_yaml	 HuBMAP C000056
 HuBMAP C000058	has_description_URL	 HuBMAP C000057
 HuBMAP C000059	isa	 HuBMAP C000058
 HuBMAP C000059	isa	 HuBMAP C000007
 HuBMAP C000059	isa	 HuBMAP C000030
 HuBMAP C000059	isa	 HuBMAP C000054
 HuBMAP C000059	referenced_in	 HuBMAP C000002
 HuBMAP C000059	uses_image_processing_method	 HuBMAP C000028
 HuBMAP C000059	has_vitessce_hint	 HuBMAP C000018
 HuBMAP C000059	has_biospecimen_type	 HuBMAP C000033
 HuBMAP C000059	has_biospecimen_type	 HuBMAP C000035
 HuBMAP C000059	has_directory_schema_yaml	 HuBMAP C000055
 HuBMAP C000059	has_field_schema_yaml	 HuBMAP C000056
 HuBMAP C000059	has_description_URL	 HuBMAP C000057
 HuBMAP C000060	isa	 HuBMAP C000040
 HuBMAP C000061	isa	 HuBMAP C000041
 HuBMAP C000062	isa	 HuBMAP C000042
 HuBMAP C000063	isa	 HuBMAP C000007
 HuBMAP C000063	isa	 HuBMAP C000015
 HuBMAP C000063	isa	 HuBMAP C000029
 HuBMAP C000063	referenced_in	 HuBMAP C000002
 HuBMAP C000063	processed_with_pipeline	 HuBMAP C000049
 HuBMAP C000063	has_biospecimen_type	 HuBMAP C000033
 HuBMAP C000063	has_biospecimen_type	 HuBMAP C000035
 HuBMAP C000063	has_directory_schema_yaml	 HuBMAP C000060
 HuBMAP C000063	has_field_schema_yaml	 HuBMAP C000061
 HuBMAP C000063	has_description_URL	 HuBMAP C000062
 HuBMAP C000064	isa	 HuBMAP C000063
 HuBMAP C000064	isa	 HuBMAP C000007
 HuBMAP C000064	isa	 HuBMAP C000015
 HuBMAP C000064	isa	 HuBMAP C000029
 HuBMAP C000064	referenced_in	 HuBMAP C000002
 HuBMAP C000064	processed_with_pipeline	 HuBMAP C000049
 HuBMAP C000064	has_biospecimen_type	 HuBMAP C000033
 HuBMAP C000064	has_biospecimen_type	 HuBMAP C000035
 HuBMAP C000064	has_directory_schema_yaml	 HuBMAP C000060
 HuBMAP C000064	has_field_schema_yaml	 HuBMAP C000061
 HuBMAP C000064	has_description_URL	 HuBMAP C000062
 HuBMAP C000065	isa	 HuBMAP C000063
 HuBMAP C000065	isa	 HuBMAP C000007
